Ordered.D;Label;treat;gf;gf2;grassdom;leaf_biomass_june;root_biomass_june;leaf_biomass_march;root_biomass_march;DNA_ID;gr_leaf;gr_root
1;M_SM1;mycorrhizal;monoculture;forb-mono;0;1,679;0,51;0,141;0,037;1;1,538;0,473
2;M_SM2;mycorrhizal;monoculture;forb-mono;0;0,979;0,586;0,129;0,034;NA;0,85;0,552
3;M_SM3;mycorrhizal;monoculture;forb-mono;0;1,419;1,306;0,164;0,043;NA;1,255;1,263
4;M_AM1;mycorrhizal;monoculture;forb-mono;0;1,319;0,57;0,06;0,021;2;1,259;0,549
5;M_AM2;mycorrhizal;monoculture;forb-mono;0;1,199;0,57;0,065;0,023;NA;1,134;0,547
6;M_AM3;mycorrhizal;monoculture;forb-mono;0;1,659;1,21;0,066;0,023;NA;1,593;1,187
7;M_BP1;mycorrhizal;monoculture;forb-mono;0;1,579;1,25;0,023;0,009;3;1,556;1,241
8;M_BP2;mycorrhizal;monoculture;forb-mono;0;1,879;1,17;0,021;0,008;NA;1,858;1,162
9;M_BP3;mycorrhizal;monoculture;forb-mono;0;1,669;0,91;0,036;0,015;NA;1,633;0,895
10;M_TO1;mycorrhizal;monoculture;forb-mono;0;1,239;1,25;0,064;0,025;4;1,175;1,225
11;M_TO2;mycorrhizal;monoculture;forb-mono;0;0,939;1,43;0,084;0,034;NA;0,855;1,396
12;M_TO3;mycorrhizal;monoculture;forb-mono;0;0,649;1,366;0,045;0,018;NA;0,604;1,348
13;M_PA1;mycorrhizal;monoculture;forb-mono;0;1,199;0,75;0,042;0,01;5;1,157;0,74
14;M_PA2;mycorrhizal;monoculture;forb-mono;0;1,169;0,226;0,007;0,001;NA;1,162;0,225
15;M_PA3;mycorrhizal;monoculture;forb-mono;0;1,439;0,95;0,012;0,002;NA;1,427;0,948
16;M_PV1;mycorrhizal;monoculture;forb-mono;0;0,829;1,05;0,046;0,017;6;0,783;1,033
17;M_PV2;mycorrhizal;monoculture;forb-mono;0;2,019;1,346;0,036;0,01;NA;1,983;1,336
18;M_PV3;mycorrhizal;monoculture;forb-mono;0;1,769;0,99;0,049;0,019;NA;1,72;0,971
19;M_RA1;mycorrhizal;monoculture;forb-mono;0;2,019;2,135;0,114;0,047;7;1,905;2,088
20;M_RA2;mycorrhizal;monoculture;forb-mono;0;1,349;3,106;0,129;0,053;NA;1,22;3,053
21;M_RA3;mycorrhizal;monoculture;forb-mono;0;2,709;6,795;0,122;0,05;NA;2,587;6,745
